器件型号,器件名称,器件名称(中文),外形,描述 / 用途说明）,尺寸,长 mm,宽 mm,高 mm,质量 g,核心材料,安装面,CAD路径,导热率W/(m·K),辐射率,热阻K/W,接触热阻K/W,比热容J/(kg·K),最高工作温度,最低工作温度,图片路径,备注,主模式功耗,校准模式功耗,冷却系统功耗,工作电压,datasheet path,器件种类,所属分系统,器件来源,本体尺寸长,本体尺寸宽,本体尺寸高,质心 X 坐标,质心 Y 坐标,质心 Z 坐标,工作相对湿度范围,储存温度范围,储存相对湿度范围,接触面积,安装面粗糙度,Unnamed: 41,STEP长,STEP宽,STEP高,Rotated CAD Path,CAD_rotated_path,器件ID,CAD_MAJOR_PATH,CAD_LOCAL_MOUNT_FACE
AIRBUS-REFINED-002_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=base_plate; role=thruster; coordinates are in Final Assembly global mm.,79.190×70.123×167.299 mm,79.19009,70.123,167.298846,18.58,Inconel 718 / stainless steel estimate,-Z,refined_coordinate_steps/base_plate/002_thruster__base_plate_4_motors_v9_1__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-Z; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,79.19009,70.123,167.298846,604.445031,75.0,88.53807,,,,5553.046681,,,79.19009,70.123,167.298846,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-002,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-003_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=base_plate; role=thruster; coordinates are in Final Assembly global mm.,79.190×70.123×167.299 mm,79.19009,70.123,167.298846,18.58,Inconel 718 / stainless steel estimate,-Z,refined_coordinate_steps/base_plate/003_thruster__base_plate_4_motors_v9_1__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-Z; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,79.19009,70.123,167.298846,604.445031,1125.0,88.53807,,,,5553.046681,,,79.19009,70.123,167.298846,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-003,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-018_battery_pack_1_ymax_side,Battery pack 1 (ymax_side),电池包,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=battery_modules; role=battery_pack; coordinates are in Final Assembly global mm.,152.000×305.000×686.000 mm,152.0,305.0,686.0,3498.326,battery_cells_aluminum_case_estimate,+Z,refined_coordinate_steps/battery_modules/018_battery_pack__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,5.0,,,,,蓄电池,电源分系统,Airbus STEP refined coordinate split,152.0,305.0,686.0,325.5,963.0,518.0,,,,46360.0,,,152.0,305.0,686.0,refined_coordinate_steps/battery_modules/018_battery_pack__inst001.step,refined_coordinate_steps/battery_modules/018_battery_pack__inst001.step,AIRBUS-REFINED-018,refined_coordinate_steps/battery_modules/018_battery_pack__inst001.step,
AIRBUS-REFINED-019_battery_pack_2_ymin_side,Battery pack 2 (ymin_side),电池包,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=battery_modules; role=battery_pack; coordinates are in Final Assembly global mm.,152.000×305.000×686.000 mm,152.0,305.0,686.0,3498.326,battery_cells_aluminum_case_estimate,+Z,refined_coordinate_steps/battery_modules/019_battery_pack__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.,5.0,,,,,蓄电池,电源分系统,Airbus STEP refined coordinate split,152.0,305.0,686.0,874.5,237.0,518.0,,,,46360.0,,,152.0,305.0,686.0,refined_coordinate_steps/battery_modules/019_battery_pack__inst002.step,refined_coordinate_steps/battery_modules/019_battery_pack__inst002.step,AIRBUS-REFINED-019,refined_coordinate_steps/battery_modules/019_battery_pack__inst002.step,
AIRBUS-REFINED-022_360_degree_camera_v4_1_complete_assembly,360 Degree Camera v4:1 complete assembly,相机组件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=cameras; role=camera_assembly; coordinates are in Final Assembly global mm.,170.004×170.004×185.684 mm,170.004451,170.004451,185.68396,321.993,aluminum_6061_estimate,-Z,refined_coordinate_steps/cameras/022_camera_assembly__360_degree_camera_v4_1__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; cameras安装面按CAD bbox/用户确认修正为-Z; 原值=+Z,3.0,,,,,相机,载荷分系统,Airbus STEP refined coordinate split,170.004451,170.004451,185.68396,150.0,150.0,977.839757,,,,28901.51336,,,170.004451,170.004451,185.68396,refined_coordinate_steps/cameras/022_camera_assembly__360_degree_camera_v4_1__inst001.step,refined_coordinate_steps/cameras_preflip_y180/022_camera_assembly__360_degree_camera_v4_1__inst001__preflip_y180.step,AIRBUS-REFINED-022,refined_coordinate_steps/cameras_preflip_y180/022_camera_assembly__360_degree_camera_v4_1__inst001__preflip_y180.step,
AIRBUS-REFINED-023_360_degree_camera_v4_4_complete_assembly,360 Degree Camera v4:4 complete assembly,相机组件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=cameras; role=camera_assembly; coordinates are in Final Assembly global mm.,170.004×170.004×185.684 mm,170.004451,170.004451,185.68396,321.993,aluminum_6061_estimate,-Z,refined_coordinate_steps/cameras/023_camera_assembly__360_degree_camera_v4_4__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; cameras安装面按CAD bbox/用户确认修正为-Z; 原值=+Z,3.0,,,,,相机,载荷分系统,Airbus STEP refined coordinate split,170.004451,170.004451,185.68396,150.0,1050.0,977.839757,,,,28901.51336,,,170.004451,170.004451,185.68396,refined_coordinate_steps/cameras/023_camera_assembly__360_degree_camera_v4_4__inst002.step,refined_coordinate_steps/cameras_preflip_y180/023_camera_assembly__360_degree_camera_v4_4__inst002__preflip_y180.step,AIRBUS-REFINED-023,refined_coordinate_steps/cameras_preflip_y180/023_camera_assembly__360_degree_camera_v4_4__inst002__preflip_y180.step,
AIRBUS-REFINED-024_360_degree_camera_v4_3_complete_assembly,360 Degree Camera v4:3 complete assembly,相机组件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=cameras; role=camera_assembly; coordinates are in Final Assembly global mm.,170.004×170.004×185.684 mm,170.004451,170.004451,185.68396,321.993,aluminum_6061_estimate,-Z,refined_coordinate_steps/cameras/024_camera_assembly__360_degree_camera_v4_3__inst003.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; cameras安装面按CAD bbox/用户确认修正为-Z; 原值=+Z,3.0,,,,,相机,载荷分系统,Airbus STEP refined coordinate split,170.004451,170.004451,185.68396,1050.0,1050.0,977.839757,,,,28901.51336,,,170.004451,170.004451,185.68396,refined_coordinate_steps/cameras/024_camera_assembly__360_degree_camera_v4_3__inst003.step,refined_coordinate_steps/cameras_preflip_y180/024_camera_assembly__360_degree_camera_v4_3__inst003__preflip_y180.step,AIRBUS-REFINED-024,refined_coordinate_steps/cameras_preflip_y180/024_camera_assembly__360_degree_camera_v4_3__inst003__preflip_y180.step,
AIRBUS-REFINED-025_360_degree_camera_v4_2_complete_assembly,360 Degree Camera v4:2 complete assembly,相机组件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=cameras; role=camera_assembly; coordinates are in Final Assembly global mm.,170.004×170.004×185.684 mm,170.004451,170.004451,185.68396,321.993,aluminum_6061_estimate,-Z,refined_coordinate_steps/cameras/025_camera_assembly__360_degree_camera_v4_2__inst004.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; cameras安装面按CAD bbox/用户确认修正为-Z; 原值=+Z,3.0,,,,,相机,载荷分系统,Airbus STEP refined coordinate split,170.004451,170.004451,185.68396,1050.0,150.0,977.839757,,,,28901.51336,,,170.004451,170.004451,185.68396,refined_coordinate_steps/cameras/025_camera_assembly__360_degree_camera_v4_2__inst004.step,refined_coordinate_steps/cameras_preflip_y180/025_camera_assembly__360_degree_camera_v4_2__inst004__preflip_y180.step,AIRBUS-REFINED-025,refined_coordinate_steps/cameras_preflip_y180/025_camera_assembly__360_degree_camera_v4_2__inst004__preflip_y180.step,
AIRBUS-REFINED-090_allocated_space_for_computer_systems,Allocated space for computer systems,计算机系统占位件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=computer_systems; role=computer_system_volume; coordinates are in Final Assembly global mm.,300.000×280.000×300.000 mm,260.0,220.0,240.0,1700.0,aluminum_6061_estimate,+Z,refined_coordinate_steps/computer_systems/090_computer_system_volume__allocated_space_for_computer_systems_1__inst001.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; Simplified allocated computer system volume to 300x280x300 bbox while preserving +Z mount contact plane.; computer_system simplified to 260x220x240 bbox; repositioned to bottom-supported non-overlap slot 20260515,15.0,,,,,计算机系统,综合电子分系统,Airbus STEP refined coordinate split,260.0,220.0,240.0,300.0,120.0,125.0,,,,170000.0,,,260.0,220.0,240.0,refined_coordinate_steps/computer_systems_simplified_boxes/090_computer_system_simplified_box_260x220x240.step,refined_coordinate_steps/computer_systems_simplified_boxes/090_computer_system_simplified_box_260x220x240.step,AIRBUS-REFINED-090,refined_coordinate_steps/computer_systems_simplified_boxes/090_computer_system_simplified_box_260x220x240.step,
AIRBUS-REFINED-091_allocated_space_for_computer_systems,Allocated space for computer systems,计算机系统占位件,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=computer_systems; role=computer_system_volume; coordinates are in Final Assembly global mm.,300.000×280.000×300.000 mm,260.0,220.0,240.0,1700.0,aluminum_6061_estimate,+Z,refined_coordinate_steps/computer_systems/091_computer_system_volume__allocated_space_for_computer_systems_2__inst002.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; Simplified allocated computer system volume to 300x280x300 bbox while preserving +Z mount contact plane.; computer_system simplified to 260x220x240 bbox; repositioned to bottom-supported non-overlap slot 20260515,15.0,,,,,计算机系统,综合电子分系统,Airbus STEP refined coordinate split,260.0,220.0,240.0,900.0,1080.0,125.0,,,,170000.0,,,260.0,220.0,240.0,refined_coordinate_steps/computer_systems_simplified_boxes/091_computer_system_simplified_box_260x220x240.step,refined_coordinate_steps/computer_systems_simplified_boxes/091_computer_system_simplified_box_260x220x240.step,AIRBUS-REFINED-091,refined_coordinate_steps/computer_systems_simplified_boxes/091_computer_system_simplified_box_260x220x240.step,
